3.6774 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
121.2195 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
123.7438 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B19307A220>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B1B9671430>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
123.7465 	EXP 	window1: mouseVisible = True
123.7466 	EXP 	window1: mouseVisible = False
123.7466 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
123.7466 	EXP 	window1: recordFrameIntervals = False
123.9090 	EXP 	window1: recordFrameIntervals = True
124.0929 	EXP 	Screen (0) actual frame rate measured at 60.06Hz
124.0929 	EXP 	window1: recordFrameIntervals = False
134.3482 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
134.4605 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
134.5076 	EXP 	Imported Tutorial 1.0.xlsx as conditions, 1 conditions, 5 params
135.1811 	EXP 	window1: recordFrameIntervals = False
135.1852 	DATA 	Keypress: right
135.1943 	EXP 	window1: recordFrameIntervals = False
136.1994 	EXP 	fixation: autoDraw = True
136.5344 	EXP 	grating: autoDraw = True
136.5344 	EXP 	grating: tex = 'sin'
136.8346 	EXP 	grating: autoDraw = False
137.2015 	EXP 	fixation: autoDraw = False
140.3468 	DATA 	Mouse: Left button down, pos=(1272,287)
140.5467 	DATA 	Mouse:  Left button up, pos=(1272,287)
140.9134 	DATA 	Mouse: Left button down, pos=(1272,287)
141.1465 	DATA 	Mouse:  Left button up, pos=(1272,287)
141.1468 	DATA 	Mouse: Left button down, pos=(1272,287)
141.3626 	DATA 	Mouse:  Left button up, pos=(1272,287)
142.2126 	EXP 	window1: recordFrameIntervals = False
142.2141 	DATA 	Keypress: right
142.2273 	EXP 	fixation: autoDraw = False
142.2273 	EXP 	grating: autoDraw = False
142.2275 	EXP 	window1: recordFrameIntervals = False
142.9936 	DATA 	Keypress: right
143.1979 	EXP 	fixation: autoDraw = True
144.2090 	EXP 	fixation: autoDraw = False
144.2257 	EXP 	grating: autoDraw = True
144.2257 	EXP 	grating: tex = 'sin'
144.5253 	EXP 	grating: autoDraw = False
144.7601 	EXP 	window1: recordFrameIntervals = False
144.7609 	DATA 	Keypress: left
144.7752 	EXP 	fixation: autoDraw = False
144.7752 	EXP 	grating: autoDraw = False
144.7754 	EXP 	window1: recordFrameIntervals = False
145.7478 	EXP 	fixation: autoDraw = True
146.7569 	EXP 	fixation: autoDraw = False
146.7736 	EXP 	grating: autoDraw = True
146.7736 	EXP 	grating: tex = 'sin'
147.0734 	EXP 	grating: autoDraw = False
147.1925 	EXP 	window1: recordFrameIntervals = False
147.1935 	DATA 	Keypress: right
147.2066 	EXP 	fixation: autoDraw = False
147.2066 	EXP 	grating: autoDraw = False
147.2068 	EXP 	window1: recordFrameIntervals = False
148.1813 	EXP 	fixation: autoDraw = True
149.1883 	EXP 	fixation: autoDraw = False
149.2049 	EXP 	grating: autoDraw = True
149.2049 	EXP 	grating: tex = 'sin'
149.5046 	EXP 	grating: autoDraw = False
149.6895 	EXP 	window1: recordFrameIntervals = False
149.6904 	DATA 	Keypress: right
149.7045 	EXP 	fixation: autoDraw = False
149.7045 	EXP 	grating: autoDraw = False
149.7047 	EXP 	window1: recordFrameIntervals = False
150.6782 	EXP 	fixation: autoDraw = True
151.6862 	EXP 	fixation: autoDraw = False
151.7030 	EXP 	grating: autoDraw = True
151.7030 	EXP 	grating: tex = 'sin'
152.0027 	EXP 	grating: autoDraw = False
152.1373 	EXP 	window1: recordFrameIntervals = False
152.1382 	DATA 	Keypress: left
152.1524 	EXP 	fixation: autoDraw = False
152.1524 	EXP 	grating: autoDraw = False
152.1526 	EXP 	window1: recordFrameIntervals = False
153.1280 	EXP 	fixation: autoDraw = True
154.1341 	EXP 	fixation: autoDraw = False
154.1515 	EXP 	grating: autoDraw = True
154.1515 	EXP 	grating: tex = 'sin'
154.4506 	EXP 	grating: autoDraw = False
154.5353 	EXP 	window1: recordFrameIntervals = False
154.5360 	DATA 	Keypress: left
154.5504 	EXP 	fixation: autoDraw = False
154.5504 	EXP 	grating: autoDraw = False
154.5506 	EXP 	window1: recordFrameIntervals = False
155.5243 	EXP 	fixation: autoDraw = True
156.5322 	EXP 	fixation: autoDraw = False
156.5489 	EXP 	grating: autoDraw = True
156.5489 	EXP 	grating: tex = 'sin'
156.8487 	EXP 	grating: autoDraw = False
156.9339 	EXP 	window1: recordFrameIntervals = False
156.9352 	DATA 	Keypress: left
156.9488 	EXP 	fixation: autoDraw = False
156.9488 	EXP 	grating: autoDraw = False
156.9491 	EXP 	window1: recordFrameIntervals = False
157.9235 	EXP 	fixation: autoDraw = True
158.9302 	EXP 	fixation: autoDraw = False
158.9471 	EXP 	grating: autoDraw = True
158.9471 	EXP 	grating: tex = 'sin'
159.2470 	EXP 	grating: autoDraw = False
159.3649 	EXP 	window1: recordFrameIntervals = False
159.3656 	DATA 	Keypress: left
159.3798 	EXP 	fixation: autoDraw = False
159.3798 	EXP 	grating: autoDraw = False
159.3800 	EXP 	window1: recordFrameIntervals = False
160.3531 	EXP 	fixation: autoDraw = True
161.3617 	EXP 	fixation: autoDraw = False
161.3784 	EXP 	grating: autoDraw = True
161.3784 	EXP 	grating: tex = 'sin'
161.6779 	EXP 	grating: autoDraw = False
161.7301 	EXP 	window1: recordFrameIntervals = False
161.7311 	DATA 	Keypress: left
161.7446 	EXP 	fixation: autoDraw = False
161.7446 	EXP 	grating: autoDraw = False
161.7448 	EXP 	window1: recordFrameIntervals = False
162.7181 	EXP 	fixation: autoDraw = True
163.7263 	EXP 	fixation: autoDraw = False
163.7431 	EXP 	grating: autoDraw = True
163.7431 	EXP 	grating: tex = 'sin'
164.0427 	EXP 	grating: autoDraw = False
164.0942 	EXP 	window1: recordFrameIntervals = False
164.0951 	DATA 	Keypress: left
164.1093 	EXP 	fixation: autoDraw = False
164.1093 	EXP 	grating: autoDraw = False
164.1094 	EXP 	window1: recordFrameIntervals = False
165.0788 	EXP 	fixation: autoDraw = True
166.0910 	EXP 	fixation: autoDraw = False
166.1079 	EXP 	grating: autoDraw = True
166.1079 	EXP 	grating: tex = 'sin'
166.4074 	EXP 	grating: autoDraw = False
166.5589 	EXP 	window1: recordFrameIntervals = False
166.5597 	DATA 	Keypress: right
166.5739 	EXP 	fixation: autoDraw = False
166.5739 	EXP 	grating: autoDraw = False
166.5740 	EXP 	window1: recordFrameIntervals = False
167.5529 	EXP 	fixation: autoDraw = True
168.5556 	EXP 	fixation: autoDraw = False
168.5725 	EXP 	grating: autoDraw = True
168.5725 	EXP 	grating: tex = 'sin'
168.8720 	EXP 	grating: autoDraw = False
168.9734 	EXP 	window1: recordFrameIntervals = False
168.9742 	DATA 	Keypress: left
168.9887 	EXP 	fixation: autoDraw = False
168.9887 	EXP 	grating: autoDraw = False
168.9888 	EXP 	window1: recordFrameIntervals = False
169.9610 	EXP 	fixation: autoDraw = True
170.9704 	EXP 	fixation: autoDraw = False
170.9873 	EXP 	grating: autoDraw = True
170.9873 	EXP 	grating: tex = 'sin'
171.2868 	EXP 	grating: autoDraw = False
171.3885 	EXP 	window1: recordFrameIntervals = False
171.3893 	DATA 	Keypress: right
171.4033 	EXP 	fixation: autoDraw = False
171.4033 	EXP 	grating: autoDraw = False
171.4035 	EXP 	window1: recordFrameIntervals = False
172.3752 	EXP 	fixation: autoDraw = True
173.3850 	EXP 	fixation: autoDraw = False
173.4018 	EXP 	grating: autoDraw = True
173.4018 	EXP 	grating: tex = 'sin'
173.7014 	EXP 	grating: autoDraw = False
173.9030 	EXP 	window1: recordFrameIntervals = False
173.9039 	DATA 	Keypress: right
173.9181 	EXP 	fixation: autoDraw = False
173.9181 	EXP 	grating: autoDraw = False
173.9182 	EXP 	window1: recordFrameIntervals = False
174.8918 	EXP 	fixation: autoDraw = True
175.8996 	EXP 	fixation: autoDraw = False
175.9166 	EXP 	grating: autoDraw = True
175.9166 	EXP 	grating: tex = 'sin'
176.2161 	EXP 	grating: autoDraw = False
176.2840 	EXP 	window1: recordFrameIntervals = False
176.2849 	DATA 	Keypress: right
176.2993 	EXP 	fixation: autoDraw = False
176.2993 	EXP 	grating: autoDraw = False
176.2995 	EXP 	window1: recordFrameIntervals = False
177.2721 	EXP 	fixation: autoDraw = True
178.2811 	EXP 	fixation: autoDraw = False
178.2978 	EXP 	grating: autoDraw = True
178.2978 	EXP 	grating: tex = 'sin'
178.5974 	EXP 	grating: autoDraw = False
178.6989 	EXP 	window1: recordFrameIntervals = False
178.6996 	DATA 	Keypress: left
178.7141 	EXP 	fixation: autoDraw = False
178.7141 	EXP 	grating: autoDraw = False
178.7143 	EXP 	window1: recordFrameIntervals = False
179.6930 	EXP 	fixation: autoDraw = True
180.6961 	EXP 	fixation: autoDraw = False
